name,solution
C0000939,0
C0000940,1
C0000941,0
C0000942,0
C0000943,1
C0000944,0
C0000945,1
C0000946,0
C0000947,0
C0000948,1
C0000949,0
C0000950,1
C0000951,0
C0000952,0
C0000953,1
C0000954,0
C0000955,1
C0000956,0
C0000957,0
C0000958,1
C0000959,0
C0000960,1
C0000961,0
C0000962,0
C0000963,1
C0000964,0
C0000965,1
C0000966,0
C0000967,0
C0000968,1
C0000969,0
C0000970,1
C0000971,0
C0000972,0
C0000973,1
C0000974,0
C0000975,1
C0000976,0
C0000977,0
C0000978,1
C0000979,0
C0000980,1
C0000981,0
C0000982,0
C0000983,1
C0000984,0
C0000985,1
C0000986,0
C0000987,0
C0000988,1
C0000989,0
C0000990,1
C0000991,0
C0000992,0
C0000993,1
C0000994,0
C0000995,1
C0000996,0
C0000997,0
C0000998,1
C0000999,0
C0001000,1
C0001001,0
C0001002,0
C0001003,1
C0001004,0
C0001005,1
C0001006,0
C0001007,0
C0001008,1
C0001009,0
C0001010,1
C0001011,0
C0001012,0
C0001013,1
C0001014,0
C0001015,1
C0001016,0
C0001017,0
C0001018,1
C0001019,0
C0001020,1
C0001021,0
C0001022,0
C0001023,1
C0001024,0
C0001025,1
C0001026,0
C0001027,0
C0001028,1
C0001029,0
C0001030,1
C0001031,0
C0001032,0
C0001033,1
C0001034,0
C0001035,1
C0001036,0
C0001037,0
C0001038,1
C0001039,0
C0001040,1
C0001041,0
C0001042,0
C0001043,1
C0001044,0
C0001045,1
C0001046,0
C0001047,0
C0001048,1
C0001049,0
C0001050,2
C0001051,0
C0001052,0
C0001053,1
C0001054,0
C0001055,2
C0001056,0
C0001057,0
C0001058,1
C0001059,0
C0001060,2
C0001061,0
C0001062,0
C0001063,1
C0001064,0
C0001065,2
C0001066,0
C0001067,0
C0001068,1
C0001069,0
C0001070,2
C0001071,0
C0001072,0
C0001073,1
C0001074,0
C0001075,2
C0001076,0
C0001077,0
C0001078,1
C0001079,0
C0001080,2
C0001081,0
C0001082,0
C0001083,1
C0001084,0
C0001085,2
C0001086,0
C0001087,0
C0001088,1
C0001089,0
C0001090,2
C0001091,0
C0001092,0
C0001093,1
C0001094,0
C0001095,2
C0001096,0
C0001097,0
C0001098,1
C0001099,0
C0001100,2
C0001101,0
C0001102,0
C0001103,1
C0001104,0
C0001105,2
C0001106,0
C0001107,0
C0001108,1
C0001109,0
C0001110,2
C0001111,0
C0001112,0
C0001113,1
C0001114,0
C0001115,2
C0001116,0
C0001117,0
C0001118,1
C0001119,0
C0001120,2
C0001121,0
C0001122,0
C0001123,1
C0001124,0
C0001125,2
C0001126,0
C0001127,0
C0001128,1
C0001129,0
C0001130,2
C0001131,0
C0001132,0
C0001133,1
C0001134,0
C0001135,2
C0001136,0
C0001137,0
C0001138,1
C0001139,0
C0001140,2
C0001141,0
C0001142,0
C0001143,1
C0001144,0
C0001145,2
C0001146,0
C0001147,0
C0001148,1
C0001149,0
C0001150,2
C0001151,0
C0001152,0
C0001153,1
C0001154,0
C0001155,2
C0001156,0
C0001157,0
C0001158,1
C0001159,0
C0001160,2
C0001161,0
C0001162,0
C0001163,1
C0001164,0
C0001165,2
C0001166,0
C0001167,0
C0001168,1
C0001169,0
C0001170,2
C0001171,0
C0001172,0
C0001173,1
C0001174,0
C0001175,2
C0001176,0
C0001177,0
C0001178,1
C0001179,0
C0001180,2
C0001181,0
C0001182,0
C0001183,1
C0001184,0
C0001185,2
C0001186,0
C0001187,0
C0001188,1
C0001189,0
C0001190,2
C0001191,0
C0001192,0
C0001193,1
C0001194,0
C0001195,2
C0001196,0
C0001197,0
C0001198,1
C0001199,0
C0001200,2
C0001201,0
C0001202,0
C0001203,1
C0001204,0
C0001205,3
C0001206,0
C0001207,0
C0001208,1
C0001209,0
C0001210,3
C0001211,0
C0001212,0
C0001213,1
C0001214,0
C0001215,3
C0001216,0
C0001217,0
C0001218,1
C0001219,0
C0001220,3
C0001221,0
C0001222,0
C0001223,1
C0001224,0
C0001225,3
C0001226,0
C0001227,0
C0001228,1
C0001229,0
C0001230,3
C0001231,0
C0001232,0
C0001233,1
C0001234,0
C0001235,3
C0001236,0
C0001237,0
C0001238,1
C0001239,0
C0001240,3
C0001241,0
C0001242,0
C0001243,1
C0001244,0
C0001245,3
C0001246,0
C0001247,0
C0001248,1
C0001249,0
C0001250,3
C0001251,0
C0001252,0
C0001253,1
C0001254,0
C0001255,3
C0001256,0
C0001257,0
C0001258,1
C0001259,0
C0001260,3
C0001261,0
C0001262,0
C0001263,1
C0001264,0
C0001265,3
C0001266,0
C0001267,0
C0001268,1
C0001269,0
C0001270,3
C0001271,0
C0001272,0
C0001273,1
C0001274,0
C0001275,3
C0001276,0
C0001277,0
C0001278,1
C0001279,0
C0001280,3
C0001281,0
C0001282,0
C0001283,1
C0001284,0
C0001285,3
C0001286,0
C0001287,0
C0001288,1
C0001289,0
C0001290,3
C0001291,0
C0001292,0
C0001293,1
C0001294,0
C0001295,3
C0001296,0
C0001297,0
C0001298,1
C0001299,0
C0001300,3
C0001301,0
C0001302,0
C0001303,1
C0001304,0
C0001305,3
C0001306,0
C0001307,0
C0001308,1
C0001309,0
C0001310,3
C0001311,0
C0001312,0
C0001313,1
C0001314,0
C0001315,3
C0001316,0
C0001317,0
C0001318,1
C0001319,0
C0001320,3
C0001321,0
C0001322,0
C0001323,1
C0001324,0
C0001325,3
C0001326,0
C0001327,0
C0001328,1
C0001329,0
C0001330,3
C0001331,0
C0001332,0
C0001333,1
C0001334,0
C0001335,3
C0001336,0
C0001337,0
C0001338,1
C0001339,0
C0001340,3
C0001341,0
C0001342,0
C0001343,1
C0001344,0
C0001345,3
C0001346,0
C0001347,0
C0001348,1
C0001349,0
C0001350,3
C0001351,0
C0001352,0
C0001353,1
C0001354,0
C0001355,3
C0001356,0
C0001357,0
C0001358,1
C0001359,0
C0001360,4
C0001361,0
C0001362,0
C0001363,1
C0001364,0
C0001365,4
C0001366,0
C0001367,0
C0001368,1
C0001369,0
C0001370,4
C0001371,0
C0001372,0
C0001373,1
C0001374,0
C0001375,4
C0001376,0
C0001377,0
C0001378,1
C0001379,0
C0001380,4
C0001381,0
C0001382,0
C0001383,1
C0001384,0
C0001385,4
C0001386,0
C0001387,0
C0001388,1
C0001389,0
C0001390,4
C0001391,0
C0001392,0
C0001393,1
C0001394,0
C0001395,4
C0001396,0
C0001397,0
C0001398,1
C0001399,0
C0001400,4
C0001401,0
C0001402,0
C0001403,1
C0001404,0
C0001405,4
C0001406,0
C0001407,0
C0001408,1
C0001409,0
C0001410,4
C0001411,0
C0001412,0
C0001413,1
C0001414,0
C0001415,4
C0001416,0
C0001417,0
C0001418,1
C0001419,0
C0001420,4
C0001421,0
C0001422,0
C0001423,1
C0001424,0
C0001425,4
C0001426,0
C0001427,0
C0001428,1
C0001429,0
C0001430,4
C0001431,0
C0001432,0
C0001433,1
C0001434,0
C0001435,4
C0001436,0
C0001437,0
C0001438,1
C0001439,0
C0001440,4
C0001441,0
C0001442,0
C0001443,1
C0001444,0
C0001445,4
C0001446,0
C0001447,0
C0001448,1
C0001449,0
C0001450,4
C0001451,0
C0001452,0
C0001453,1
C0001454,0
C0001455,4
C0001456,0
C0001457,0
C0001458,1
C0001459,0
C0001460,4
C0001461,0
C0001462,0
C0001463,1
C0001464,0
C0001465,4
C0001466,0
C0001467,0
C0001468,1
C0001469,0
C0001470,4
C0001471,0
C0001472,0
C0001473,1
C0001474,0
C0001475,4
C0001476,0
C0001477,0
C0001478,1
C0001479,0
C0001480,4
C0001481,0
C0001482,0
C0001483,1
C0001484,0
C0001485,4
C0001486,0
C0001487,0
C0001488,1
C0001489,0
C0001490,4
C0001491,0
C0001492,0
C0001493,1
C0001494,0
C0001495,4
C0001496,0
C0001497,0
C0001498,1
C0001499,0
C0001500,4
C0001501,0
C0001502,0
C0001503,1
C0001504,0
C0001505,4
C0001506,0
C0001507,0
C0001508,1
C0001509,0
C0001510,4
C0001511,0
C0001512,0
C0001513,1
C0001514,0
C0001515,5
C0001516,0
C0001517,0
C0001518,1
C0001519,0
C0001520,5
C0001521,0
C0001522,0
C0001523,1
C0001524,0
C0001525,5
C0001526,0
C0001527,0
C0001528,1
C0001529,0
C0001530,5
C0001531,0
C0001532,0
C0001533,1
C0001534,0
C0001535,5
C0001536,0
C0001537,0
C0001538,1
C0001539,0
C0001540,5
C0001541,0
C0001542,0
C0001543,1
C0001544,0
C0001545,5
C0001546,0
C0001547,0
C0001548,1
C0001549,0
C0001550,5
C0001551,0
C0001552,0
C0001553,1
C0001554,0
C0001555,5
C0001556,0
C0001557,0
C0001558,1
C0001559,0
C0001560,5
C0001561,0
C0001562,0
C0001563,1
C0001564,0
C0001565,5
C0001566,0
C0001567,0
C0001568,1
C0001569,0
C0001570,5
C0001571,0
C0001572,0
C0001573,1
C0001574,0
C0001575,5
C0001576,0
C0001577,0
C0001578,1
C0001579,0
C0001580,5
C0001581,0
C0001582,0
C0001583,1
C0001584,0
C0001585,0
C0001586,0
C0001587,0
C0001588,0
C0001589,0
C0001590,0
C0001591,9
C0001592,4
C0001593,9
C0001594,9
C0001595,9
C0001596,9
C0001597,9
C0001598,9
C0001599,9
C0001600,9
C0001601,9
C0001602,9
C0001603,9
C0001604,9
C0001605,9
C0001606,9
C0001607,56
C0001608,10
C0001609,11
C0001610,122
C0001611,122
C0001612,112
C0001613,122
C0001614,122
C0001615,122
C0001616,122
C0001617,122
C0001618,122
C0001619,122
C0001620,122
C0001621,122
C0001622,122
C0001623,122
C0001624,122
C0001625,122
C0001626,122
C0001627,122
C0001628,122
C0001629,122
C0001630,122
C0001631,122
C0001632,122
C0001633,122
C0001634,112
C0001635,113
C0001636,121
C0001637,121
C0001638,121
C0001639,121
C0001640,121
C0001641,121
C0001642,121
C0001643,121
C0001644,121
C0001645,121
C0001646,121
C0001647,121
C0001648,121
C0001649,121
C0001650,121
C0001651,121
C0001652,121
C0001653,121
C0001654,121
C0001655,121
C0001656,121
C0001657,122
C0001658,122
C0001659,122
C0001660,122
C0001661,122
C0001662,122
C0001663,122
C0001664,122
C0001665,122
C0001666,122
C0001667,114
C0001668,121
C0001669,121
C0001670,121
C0001671,121
C0001672,121
C0001673,121
C0001674,121
C0001675,121
C0001676,121
C0001677,121
C0001678,121
C0001679,121
C0001680,121
C0001681,121
C0001682,121
C0001683,121
C0001684,121
C0001685,121
C0001686,121
C0001687,121
C0001688,121
C0001689,121
C0001690,121
C0001691,121
C0001692,121
C0001693,121
C0001694,121
C0001695,121
C0001696,121
C0001697,121
C0001698,121
C0001699,115
C0001700,122
C0001701,121
C0001702,122
C0001703,121
C0001704,122
C0001705,121
C0001706,122
C0001707,121
C0001708,122
C0001709,121
C0001710,122
C0001711,121
C0001712,122
C0001713,121
C0001714,122
C0001715,121
C0001716,121
C0001717,121
C0001718,121
C0001719,121
C0001720,121
C0001721,121
C0001722,121
C0001723,121
C0001724,121
C0001725,121
C0001726,121
C0001727,121
C0001728,121
C0001729,121
C0001730,121
C0001731,122
C0001732,122
C0001733,17
C0001734,28
C0001735,84
C0001736,92
C0001737,92
C0001738,100
C0001739,100
C0001740,99
C0001741,92
C0001742,92
C0001743,93
C0001744,93
C0001745,93
C0001746,93
